2ca8538d-a2fd-4e60-b967-1cb220101e22	Added title page title	Titel von einer weiteren Titelseite
432ca81a-fe4d-4249-bfd3-53388725647d	Caption title	Kopftitel
5c364ce4-c8fd-4891-a28d-bb91c9bcdbfb	Cover title	Umschlagtitel
781c04a4-f41e-4ab0-9118-6836e93de3c8	Distinctive title	Spezifischer Titel
0fe58901-183e-4678-a3aa-0b4751174ba8	No type specified	Titeltyp nicht spezifiziert
2584943f-36ad-4037-a7fa-3bdebb09f452	Other title	Sonstiger Titel
4bb300a4-04c9-414b-bfbc-9c032f74b7b2	Parallel title	Paralleltitel
a8b45056-2223-43ca-8514-4dd88ece984b	Portion of title	Teil des Titels 
09964ad1-7aed-49b8-8223-a4c105e3ef87	Running title	Kolumnentitel
dae08d04-8c4e-4ab2-b6bb-99edbf252231	Spine title	Rückentitel
30512027-cdc9-4c79-af75-1565b3bd888d	Uniform title	Werktitel/Einheitssachtitel
